Date,Realised_Volatility,GARCH_Forecast,GARCH_Binary,True_Target
2021-12-01,0.009383760273186,0.00825447544534121,0,0
2021-12-02,0.0086361228916981,0.008325396236742407,0,0
2021-12-03,0.0106461434210677,0.008190067818008144,0,1
2021-12-06,0.017307145388053,0.008365561846918515,0,1
2021-12-07,0.010785862031727,0.008247159722213663,0,0
2021-12-08,0.0056152128533455,0.008977544106282551,0,0
2021-12-09,0.0052328303727053,0.008814234891819024,1,0
2021-12-10,0.0071859685089472,0.008909456059660016,1,1
2021-12-13,0.0108839755805692,0.008702603234159485,1,1
2021-12-14,0.0103418249842381,0.009290479774597788,0,0
2021-12-15,0.0134998950268249,0.009055415727691562,0,1
2021-12-16,0.0134096095379909,0.009603676578349134,0,0
2021-12-17,0.0090812185838067,0.010120731485104508,0,0
2021-12-20,0.0134082717346286,0.009927325352568251,1,1
2021-12-21,0.0101081195374664,0.00967038524357388,0,0
2021-12-22,0.0057606494891077,0.009745957259223387,0,0
2021-12-23,0.0039721867447725,0.00950790867340733,1,0
2021-12-27,0.0066194138942664,0.0092708664036093,1,1
2021-12-28,0.0064983912867569,0.009305396746210903,1,0
2021-12-29,0.0041705387947067,0.009141140823851064,1,0
2021-12-30,0.0053514387528695,0.008931703474918505,1,1
2021-12-31,0.0034080633250626,0.008743687711258422,1,0
2022-01-03,0.0070082997181537,0.00853264261539503,1,1
2022-01-04,0.0122269326310778,0.00840424819338951,1,1
2022-01-05,0.0079480614554037,0.008339629695774379,0,0
2022-01-06,0.0065732258868834,0.008743095649647805,1,0
2022-01-07,0.0099997912614002,0.008584557207428994,1,1
2022-01-10,0.0108858021081733,0.008571242400742534,0,1
2022-01-11,0.0085945778684101,0.008359864243168112,0,0
2022-01-12,0.0047945598690224,0.0081840316512436,0,0
2022-01-13,0.0097889304505485,0.007985254860489562,1,1
2022-01-14,0.0114833363338185,0.00828736534772199,0,1
2022-01-18,0.0086055528308128,0.008107984944269972,0,0
2022-01-19,0.0122183152584493,0.008193844532548513,0,1
2022-01-20,0.0098725263874926,0.00819146448841857,0,0
2022-01-21,0.0084122018142395,0.008244135455658623,0,0
2022-01-24,0.0163249990202653,0.0082370904184847,0,1
2022-01-25,0.0163713613886491,0.008032992956484035,0,1
2022-01-26,0.0131498075217517,0.008221677773229928,0,0
2022-01-27,0.0094370129784002,0.008077861139361677,0,0
2022-01-28,0.0169486127414503,0.008133916069124138,0,1
2022-01-31,0.0075898229168017,0.008193032292307943,0,0
2022-02-01,0.0158421987786343,0.008769902446668733,1,1
2022-02-02,0.0113761793937406,0.008554323437086371,0,0
2022-02-03,0.0105997232467013,0.00842881340058392,0,0
2022-02-04,0.0086734497770857,0.008699980474117264,0,0
2022-02-07,0.0061421146606962,0.008515311631982589,0,0
2022-02-08,0.0078279367786893,0.008343152103012601,1,1
2022-02-09,0.0082808800113477,0.00816957692267867,1,1
