Date,Realised_Volatility,GARCH_Forecast,GARCH_Binary,True_Target
2021-11-30,0.01026205553915,0.008374183780147204,1,1
2021-12-01,0.009383760273186,0.008252623011407613,0,0
2021-12-02,0.0086361228916981,0.00832352133505341,0,0
2021-12-03,0.0106461434210677,0.008188228696259833,0,1
2021-12-06,0.017307145388053,0.008363681170009102,0,1
2021-12-07,0.010785862031727,0.008245312334697568,0,0
2021-12-08,0.0056152128533455,0.008975526438803845,0,0
2021-12-09,0.0052328303727053,0.008812247172415515,1,0
2021-12-10,0.0071859685089472,0.008907455395591166,1,1
2021-12-13,0.0108839755805692,0.008700654938556467,1,1
2021-12-14,0.0103418249842381,0.00928839711422428,0,0
2021-12-15,0.0134998950268249,0.009053383983765066,0,1
2021-12-16,0.0134096095379909,0.009601516526357563,0,0
2021-12-17,0.0090812185838067,0.010118462294165166,0,0
2021-12-20,0.0134082717346286,0.009925090674444388,1,1
2021-12-21,0.0101081195374664,0.00966820941783091,0,0
2021-12-22,0.0057606494891077,0.009743770082512454,0,0
2021-12-23,0.0039721867447725,0.009505779344085438,1,0
2021-12-27,0.0066194138942664,0.009268779987355364,1,1
2021-12-28,0.0064983912867569,0.009303309209958904,1,0
2021-12-29,0.0041705387947067,0.009139089069220174,1,0
2021-12-30,0.0053514387528695,0.008929697815078417,1,1
2021-12-31,0.0034080633250626,0.008741716317315198,1,0
2022-01-03,0.0070082997181537,0.008530726439397604,1,1
2022-01-04,0.0122269326310778,0.008402360991181045,1,1
2022-01-05,0.0079480614554037,0.008337763850792854,0,0
2022-01-06,0.0065732258868834,0.008741132342662548,1,0
2022-01-07,0.0099997912614002,0.008582622258131294,1,1
2022-01-10,0.0108858021081733,0.0085694836156673,0,1
2022-01-11,0.0085945778684101,0.008357986992761378,0,0
2022-01-12,0.0047945598690224,0.008182195731257525,0,0
2022-01-13,0.0097889304505485,0.00798346499346716,1,1
2022-01-14,0.0114833363338185,0.008285505955631385,0,1
2022-01-18,0.0086055528308128,0.008106169239723886,0,0
2022-01-19,0.0122183152584493,0.008192004562719575,0,1
2022-01-20,0.0098725263874926,0.008189626421143776,0,0
2022-01-21,0.0084122018142395,0.008242292910169775,0,0
2022-01-24,0.0163249990202653,0.0082352407375702,0,1
2022-01-25,0.0163713613886491,0.008031194032814442,0,1
2022-01-26,0.0131498075217517,0.008219830569361002,0,0
2022-01-27,0.0094370129784002,0.008076044224414294,0,0
2022-01-28,0.0169486127414503,0.008132094139335893,0,1
2022-01-31,0.0075898229168017,0.008191192504871719,0,0
2022-02-01,0.0158421987786343,0.008767938650382012,1,1
2022-02-02,0.0113761793937406,0.00855239305310712,0,0
2022-02-03,0.0105997232467013,0.00842692068454626,0,0
2022-02-04,0.0086734497770857,0.008698028647741976,0,0
2022-02-07,0.0061421146606962,0.008513393800913571,0,0
2022-02-08,0.0078279367786893,0.008341283954809488,1,1
2022-02-09,0.0082808800113477,0.008167745747240896,1,1
2022-02-10,0.009039815890095,0.008581233724434407,1,1
2022-02-11,0.0108820086399257,0.008567684171000517,0,1
2022-02-14,0.0143542210859064,0.009288859183224741,0,1
2022-02-15,0.0130139681106373,0.009075773909508643,0,0
2022-02-16,0.0112244765486004,0.009971146656658129,0,0
2022-02-17,0.0125074957084067,0.009714567451386965,0,1
2022-02-18,0.0134099782045076,0.010382502478497896,0,1
2022-02-22,0.0114508930338286,0.01030950543460644,0,0
2022-02-23,0.0085357511898684,0.010062980374969228,0,0
2022-02-24,0.0202468470554009,0.0100970971037699,1,1
2022-02-25,0.0093418207499244,0.010311690667658843,0,0
2022-02-28,0.0112928437066397,0.01008045315620333,1,1
2022-03-01,0.0068674568576584,0.009830880934897498,0,0
2022-03-02,0.0056767924240002,0.009805311424949366,1,0
2022-03-03,0.0114908535138564,0.009686589557151803,1,1
2022-03-04,0.0103986009090668,0.009514723971079877,0,0
2022-03-07,0.0110765468978255,0.00945408978527949,0,1
2022-03-08,0.0144901216210806,0.009996735511091669,0,1
2022-03-09,0.0090341501040595,0.009746444089050435,0,0
2022-03-10,0.0077361889643974,0.010130857633159396,1,0
2022-03-11,0.008262680265409,0.009911690755683034,1,1
2022-03-14,0.0104482810968234,0.009758831766805965,1,1
2022-03-15,0.0118317679398271,0.009708959020994619,0,1
2022-03-16,0.0096659220554181,0.010229036596313848,0,0
2022-03-17,0.0087324048241211,0.010518717311678727,1,0
2022-03-18,0.0145393074340933,0.0102596487029881,1,1
2022-03-21,0.0115083155282004,0.010576242344037045,0,0
2022-03-22,0.006719173903969,0.010314384364704336,0,0
2022-03-23,0.0096035336776643,0.010060886707925066,1,1
2022-03-24,0.0104158228800734,0.009983523039329182,1,1
2022-03-25,0.0059037155146263,0.010906535828115594,1,0
2022-03-28,0.0075250742893172,0.010665648949938537,1,1
2022-03-29,0.0072652996341653,0.01043265354219118,1,0
2022-03-30,0.0049194458159545,0.010192023922279386,1,0
2022-03-31,0.0078831058924281,0.010110649802335562,1,1
2022-04-01,0.0075520839115207,0.009888781323479194,1,0
2022-04-04,0.0072996255466086,0.009710995011295697,1,0
2022-04-05,0.0066530933727662,0.009540218735934245,1,0
2022-04-06,0.0093947187740991,0.009747266712220926,1,1
2022-04-07,0.0100670013285619,0.010054260234201588,1,1
2022-04-08,0.0108717986508883,0.009810514442518728,0,1
2022-04-11,0.0086594583123885,0.00988681021793474,0,0
2022-04-12,0.0127644534593561,0.010065199942134211,1,1
2022-04-13,0.0065365109490709,0.009867434199582982,0,0
2022-04-14,0.0074995088536958,0.009754374528551478,1,1
2022-04-18,0.0085317125906065,0.009800071481834554,1,1
2022-04-19,0.0083720655605218,0.009629789136686181,1,0
2022-04-20,0.0114800351078281,0.009431434203177526,1,1
2022-04-21,0.0089500556912952,0.009369114950623687,0,0
2022-04-22,0.0051603643211559,0.009739996127308827,1,0
2022-04-25,0.0067578259935178,0.00967238714360554,1,1
2022-04-26,0.0149477352453366,0.00947738028576313,1,1
2022-04-27,0.0116468418628171,0.009753811519688042,0,0
2022-04-28,0.0123586449371734,0.009573181916139088,0,1
2022-04-29,0.0144660750061919,0.010053793961094114,0,1
2022-05-02,0.0126096714016967,0.010404505355509798,0,0
